"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"105","BRN_AUS","BRN","AUS",2020,96,36,123,0,0,0,5756.495,0,0,0,46255.9119868882,73607.8848911282,25499881,437483
"106","BTN_AUS","BTN","AUS",2000,64,36,0,0,0,0,9413.485,0,1,0,36510.1629185009,3285.43482764858,18991434,591014
"107","BTN_AUS","BTN","AUS",2005,64,36,5,0,0,0,9413.485,0,1,0,40542.4981461435,4168.0288757183,20178543,648744
"108","BTN_AUS","BTN","AUS",2010,64,36,1585,0,0,0,9413.485,0,1,0,42588.4509885439,5864.50822340658,22154687,685502
"109","BTN_AUS","BTN","AUS",2015,64,36,3936,0,0,0,9413.485,0,1,0,45369.3103353939,7252.96827921787,23932499,727885
"110","BTN_AUS","BTN","AUS",2020,64,36,1834,0,0,0,9413.485,0,1,0,46255.9119868882,8371.03296453221,25499881,771612
"111","BWA_AUS","BWA","AUS",2000,72,36,2,0,1,0,11312.15,0,1,0,36510.1629185009,10523.1423574481,18991434,1643333
"112","BWA_AUS","BWA","AUS",2005,72,36,60,0,1,0,11312.15,0,1,0,40542.4981461435,11688.4826144289,20178543,1799077
"113","BWA_AUS","BWA","AUS",2010,72,36,204,0,1,0,11312.15,0,1,0,42588.4509885439,13315.0424652929,22154687,1987106
"114","BWA_AUS","BWA","AUS",2015,72,36,304,0,1,0,11312.15,0,1,0,45369.3103353939,15484.6591704712,23932499,2120716
"115","BWA_AUS","BWA","AUS",2020,72,36,130,0,1,0,11312.15,0,1,0,46255.9119868882,15092.6535708782,25499881,2351625
"116","CAF_AUS","CAF","AUS",2000,140,36,0,0,0,0,14139.34,0,1,0,36510.1629185009,903.089731016818,18991434,3640421
"117","CAF_AUS","CAF","AUS",2005,140,36,1,0,0,0,14139.34,0,1,0,40542.4981461435,864.985046977478,20178543,4038380
"118","CAF_AUS","CAF","AUS",2010,140,36,14,0,0,0,14139.34,0,1,0,42588.4509885439,965.347674926688,22154687,4386765
"119","CAF_AUS","CAF","AUS",2015,140,36,3,0,0,0,14139.34,0,1,0,45369.3103353939,686.875057632035,23932499,4493171
"120","CAF_AUS","CAF","AUS",2020,140,36,0,0,0,0,14139.34,0,1,0,46255.9119868882,736.217545968599,25499881,4829764
"121","CAN_AUS","CAN","AUS",2000,124,36,1045,0,1,0,15586.66,0,0,0,36510.1629185009,37563.5783149625,18991434,30588379
"122","CAN_AUS","CAN","AUS",2005,124,36,6851,0,1,0,15586.66,0,0,0,40542.4981461435,40607.1550808329,20178543,32164313
"123","CAN_AUS","CAN","AUS",2010,124,36,8844,0,1,0,15586.66,0,0,0,42588.4509885439,40643.3474956349,22154687,34147566
"124","CAN_AUS","CAN","AUS",2015,124,36,9862,0,1,0,15586.66,0,0,0,45369.3103353939,42917.8884267332,23932499,36026668
