"","year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
"200",2020,"USA",308650,578848,416119,548921,1091168,1161461,1270638,5375805
"201",2025,"AUS",39803,146602,228432,80520,165640,229003,256579,1146579
"202",2025,"AUT",69289,91637,36158,62335,139184,84492,112950,596045
"203",2025,"BEL",41976,40781,36318,105857,54057,64755,279865,623609
"204",2025,"BGR",0,0,0,0,0,0,0,0
"205",2025,"CAN",86741,174544,295611,135166,248200,612145,398309,1950716
"206",2025,"CHE",38289,55702,53296,97632,128373,131696,161403,666391
"207",2025,"CHL",0,0,0,0,0,0,0,0
"208",2025,"CYP",0,0,0,0,0,0,0,0
"209",2025,"CZE",4160,6350,2573,5862,12322,4944,24505,60716
"210",2025,"DEU",58635,358381,925312,407465,874813,535627,1889831,5050064
"211",2025,"DNK",18143,17042,13491,14091,35841,36720,118554,253882
"212",2025,"ESP",521383,308176,282661,550930,358115,358289,459296,2838850
"213",2025,"EST",0,0,0,0,0,0,0,0
"214",2025,"FIN",28417,8568,8232,19185,9103,10361,19269,103135
"215",2025,"FRA",134098,112778,114853,243773,160106,169604,226533,1161745
"216",2025,"GBR",94833,120640,481592,172370,96513,296014,201183,1463145
"217",2025,"GRC",0,0,0,0,0,0,0,0
"218",2025,"HUN",9234,17505,8132,10168,21337,15616,21744,103736
"219",2025,"IRL",3396,4133,3673,7021,9302,9630,10683,47838
"220",2025,"ISL",6165,7107,4432,3774,6164,4734,6276,38652
"221",2025,"ISR",3359,7307,5947,2423,7395,15715,7857,50003
"222",2025,"ITA",243631,187547,306253,246215,202442,69613,108941,1364642
"223",2025,"JPN",209176,595310,265288,115813,160224,171415,616623,2133849
"224",2025,"LTU",0,0,0,0,0,0,0,0
"225",2025,"LUX",6988,13813,27046,17874,19098,23956,49999,158774
"226",2025,"LVA",0,0,0,0,0,0,0,0
"227",2025,"MEX",0,0,0,0,0,0,0,0
"228",2025,"MLT",0,0,0,0,0,0,0,0
"229",2025,"NLD",95828,95302,82349,199477,220024,218362,103475,1014817
"230",2025,"NOR",17994,23695,18006,17964,34186,37749,118307,267901
"231",2025,"NZL",108966,67042,95375,44798,87777,110096,131984,646038
"232",2025,"POL",6874,12920,12590,5121,19209,25235,44194,126143
"233",2025,"PRT",96133,67392,31119,86112,46419,47878,58274,433327
"234",2025,"ROU",0,0,0,0,0,0,0,0
"235",2025,"RUS",0,0,0,0,0,0,0,0
"236",2025,"SVK",0,0,0,0,0,0,0,0
"237",2025,"SVN",0,0,0,0,0,0,0,0
"238",2025,"SWE",39656,65015,56088,46548,89379,77961,152906,527553
"239",2025,"TUR",0,0,0,0,0,0,0,0
"240",2025,"USA",634215,958620,770206,871269,1359726,1624862,1296325,7515223
"241",2030,"AUS",38116,137640,209578,76096,157548,215907,242433,1077318
"242",2030,"AUT",66731,85266,34040,58815,129099,78893,102916,555760
"243",2030,"BEL",42626,41739,37044,108504,55957,66882,286129,638881
"244",2030,"BGR",0,0,0,0,0,0,0,0
"245",2030,"CAN",78511,157623,267268,122459,226616,556912,367317,1776706
"246",2030,"CHE",36847,53162,51078,93501,122365,126155,153547,636655
"247",2030,"CHL",0,0,0,0,0,0,0,0
"248",2030,"CYP",0,0,0,0,0,0,0,0
"249",2030,"CZE",4202,6594,2881,6240,13438,5549,27149,66053
"250",2030,"DEU",53989,335531,837983,396132,841603,541422,1846166,4852826
"251",2030,"DNK",18128,16757,13020,13959,35243,36098,114628,247833
"252",2030,"ESP",452745,267796,244098,475261,317868,311802,412199,2481769
"253",2030,"EST",0,0,0,0,0,0,0,0
"254",2030,"FIN",27763,8597,8254,18746,9144,10503,18976,101983
"255",2030,"FRA",130203,110197,113358,234817,155767,167227,220262,1131831
"256",2030,"GBR",93704,118016,455572,168643,96197,292201,194912,1419245
"257",2030,"GRC",0,0,0,0,0,0,0,0
"258",2030,"HUN",8772,17128,8075,9861,21115,15366,21955,102272
"259",2030,"IRL",3447,4195,3729,7128,9442,9776,10845,48562
"260",2030,"ISL",6106,6753,4547,3657,5920,4921,6384,38288
"261",2030,"ISR",3144,6879,5404,2614,7113,14498,7879,47531
"262",2030,"ITA",232060,183664,294877,235825,200142,68669,105268,1320505
"263",2030,"JPN",208503,595266,265554,114791,159374,171377,615329,2130194
"264",2030,"LTU",0,0,0,0,0,0,0,0
"265",2030,"LUX",6638,13325,26649,16662,18856,23626,48219,153975
"266",2030,"LVA",0,0,0,0,0,0,0,0
"267",2030,"MEX",0,0,0,0,0,0,0,0
"268",2030,"MLT",0,0,0,0,0,0,0,0
"269",2030,"NLD",84576,84965,73037,177198,194280,194887,92143,901086
"270",2030,"NOR",19158,24690,18747,18843,35422,39195,123429,279484
"271",2030,"NZL",102358,64508,90939,42325,83641,106004,125565,615340
"272",2030,"POL",7199,12847,12436,5422,19818,24993,51115,133830
"273",2030,"PRT",89477,62507,29464,77801,41959,43643,52636,397487
"274",2030,"ROU",0,0,0,0,0,0,0,0
"275",2030,"RUS",0,0,0,0,0,0,0,0
"276",2030,"SVK",0,0,0,0,0,0,0,0
"277",2030,"SVN",0,0,0,0,0,0,0,0
"278",2030,"SWE",38522,63146,55231,45954,89214,78277,152144,522488
"279",2030,"TUR",0,0,0,0,0,0,0,0
"280",2030,"USA",616785,963684,802478,835424,1366980,1693678,1324219,7603248
